city,country,latitude,longitude,max temperature,humidity,cloudiness,wind speed,date
katsuura,JP,35.13,140.3,73.4,94,75,3.36,1593056060
portel,BR,-1.94,-50.82,74.7,92,100,2.89,1593056475
college,US,64.86,-147.8,64.4,45,75,8.05,1593056101
esperance,AU,-33.87,121.9,60.8,41,0,12.75,1593056097
noumea,NC,-22.28,166.46,75.2,57,75,9.17,1593056455
ponta do sol,PT,32.67,-17.1,69.8,68,20,11.41,1593056074
castro,BR,-24.79,-50.01,56.89,90,2,5.23,1593056079
puerto ayora,EC,-0.74,-90.35,69.01,93,79,1.01,1593056057
tuatapere,NZ,-46.13,167.68,48.16,76,52,4.03,1593056073
cacoal,BR,-11.44,-61.45,72.39,82,27,2.13,1593056476
lorengau,PG,-2.02,147.27,84.07,79,17,12.44,1593056089
severo-kurilsk,RU,50.68,156.12,51.96,77,44,8.63,1593056061
provideniya,RU,64.38,-173.3,42.8,69,75,15.66,1593056072
aswan,EG,24.09,32.91,82.71,22,99,12.48,1593056477
sabang,ID,5.89,95.32,83.17,70,44,2.66,1593056477
barrow,US,71.29,-156.79,35.6,74,90,10.29,1593056093
luderitz,NA,-26.65,15.16,55.4,47,0,2.24,1593056101
subtanjalla,PE,-14.02,-75.76,60.8,87,40,2.24,1593056477
carnarvon,AU,-24.87,113.63,69.8,46,0,8.05,1593056070
saint george,US,37.1,-113.58,96.8,9,1,11.41,1593056208
saint-junien,FR,45.88,0.9,68.0,72,9,3.36,1593056478
benghazi,LY,32.12,20.07,71.01,78,0,7.87,1593056478
kapaa,US,22.08,-159.32,82.4,74,20,11.41,1593056064
thompson,CA,55.74,-97.86,71.6,40,75,3.36,1593055867
chokurdakh,RU,70.63,147.92,80.06,28,0,12.15,1593056072
flinders,AU,-34.58,150.86,66.99,52,0,8.01,1593056094
ibra,OM,22.69,58.53,84.16,63,1,3.13,1593056479
verkhoyansk,RU,67.54,133.38,87.69,21,24,2.91,1593056479
moose factory,CA,51.26,-80.61,48.2,100,90,8.05,1593056479
sotouboua,TG,8.57,0.98,71.1,91,52,2.33,1593056479
cidreira,BR,-30.18,-50.21,66.81,76,43,3.33,1593056095
nemuro,JP,43.32,145.57,55.4,82,75,5.82,1593056479
skelleftea,SE,64.75,20.95,69.93,61,0,0.63,1593056480
dagana,MR,16.52,-15.51,82.4,54,64,4.7,1593056480
vanimo,PG,-2.67,141.3,87.08,66,78,10.98,1593056110
hermanus,ZA,-34.42,19.23,46.99,88,2,11.3,1593056073
pingliang,CN,35.54,106.69,82.17,31,82,4.45,1593056480
lieksa,FI,63.32,30.02,63.0,74,14,5.5,1593056480
nikolskoye,RU,59.7,30.79,64.4,59,59,6.71,1593056058
pleshanovo,RU,52.83,53.48,56.14,71,59,13.18,1593056480
carutapera,BR,-1.2,-46.02,75.99,91,76,5.35,1593056481
hobart,AU,-42.88,147.33,55.99,82,75,8.05,1593055787
guerrero negro,MX,27.98,-114.06,63.3,88,0,14.36,1593056079
la asuncion,VE,11.03,-63.86,78.8,94,35,10.29,1593056481
merauke,ID,-8.47,140.33,81.59,81,20,16.93,1593056481
kautokeino,NO,69.01,23.04,54.81,73,100,16.17,1593056481
nishihara,JP,26.18,127.76,84.2,83,75,12.75,1593056068
nanortalik,GL,60.14,-45.24,40.98,87,100,4.32,1593056078
sitka,US,57.05,-135.33,51.8,76,90,6.93,1593055984
wasilla,US,61.58,-149.44,62.6,66,75,5.55,1593056482
torbay,CA,47.67,-52.73,68.0,94,40,11.41,1593055958
klaksvik,FO,62.23,-6.59,50.0,93,14,12.75,1593056073
shimoni,KE,-4.65,39.38,75.87,84,13,15.08,1593056482
lata,PT,40.16,-8.33,64.0,89,98,3.94,1593056067
stokmarknes,NO,68.56,14.91,55.99,90,100,3.0,1593056482
villa carlos paz,AR,-31.42,-64.5,43.0,64,0,9.17,1593056482
ushtobe,KZ,45.25,77.98,78.58,28,0,9.89,1593056083
ust-nera,RU,64.57,143.2,78.48,28,92,1.28,1593056483
chuy,UY,-33.7,-53.46,60.85,97,99,9.86,1593056072
victoria,HK,22.29,114.16,90.0,73,100,7.0,1593055830
longyearbyen,SJ,78.22,15.64,44.6,81,90,2.24,1593056093
dire dawa,ET,9.59,41.87,72.59,60,54,16.46,1593056483
cervo,ES,43.67,-7.41,60.01,90,95,8.81,1593056483
mayya,RU,61.73,130.28,78.8,31,22,6.71,1593056484
healesville,AU,-37.65,145.52,57.0,70,59,1.01,1593056484
lovington,US,32.94,-103.35,80.01,36,1,8.05,1593056484
paranagua,BR,-25.52,-48.51,59.0,77,0,1.12,1593056484
